zpid,bucketType,rate,rateSource,lastUpdatedTimestamp,lastUpdatedDate,lmi_id,ls_id,lti_id
442720892,"Arm 5 Bucket",6.741,ZGMI,"2024-11-20 19:47:15",2024-11-20,199,37,NULL
41188328,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 21:12:24",2024-11-20,200,7824,50971
6239392,"Arm 5 Bucket",6.741,ZGMI,"2024-11-20 20:00:59",2024-11-20,201,11256,9884
41082911,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 22:39:45",2024-11-20,202,7971,11769
245780624,"Arm 5 Bucket",6.25,ZGMI,"2024-11-20 21:19:45",2024-11-20,203,11210,NULL
296614346,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 22:30:14",2024-11-20,204,15705,45241
51528454,"Arm 5 Bucket",6.741,ZGMI,"2024-11-20 20:38:00",2024-11-20,205,7425,5350
41155294,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 21:34:11",2024-11-20,206,10971,9722
442634530,"Arm 5 Bucket",6.741,ZGMI,"2024-11-20 20:40:08",2024-11-20,207,236,NULL
88526588,"Arm 5 Bucket",6.25,ZGMI,"2024-11-20 21:20:37",2024-11-20,208,7463,57565
41181240,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 23:03:55",2024-11-20,209,15087,11966
442736123,"Arm 5 Bucket",6.741,ZGMI,"2024-11-20 20:29:55",2024-11-20,210,769,NULL
442515561,"Arm 5 Bucket",6.741,ZGMI,"2024-11-20 19:39:04",2024-11-20,211,14119,NULL
67449298,"Arm 5 Bucket",6.25,ZGMI,"2024-11-20 23:18:19",2024-11-20,212,11286,9710
88722664,"Arm 5 Bucket",6.25,ZGMI,"2024-11-20 22:36:17",2024-11-20,213,11451,15503
88273002,"Arm 5 Bucket",6.25,ZGMI,"2024-11-20 22:18:24",2024-11-20,214,10856,18519
88694980,"Arm 5 Bucket",6.25,ZGMI,"2024-11-20 22:03:02",2024-11-20,215,11801,18614
88224409,"Arm 5 Bucket",6.25,ZGMI,"2024-11-20 22:37:09",2024-11-20,216,7084,37515
88242456,"Arm 5 Bucket",6.25,ZGMI,"2024-11-20 22:43:43",2024-11-20,217,3067,10170
88155503,"Arm 5 Bucket",6.25,ZGMI,"2024-11-20 21:59:55",2024-11-20,218,12635,15477
245780525,"Arm 5 Bucket",6.25,ZGMI,"2024-11-20 23:07:21",2024-11-20,219,11750,14760
88176329,"Arm 5 Bucket",6.25,ZGMI,"2024-11-20 22:08:51",2024-11-20,220,81,44994
88542915,"Arm 5 Bucket",6.25,ZGMI,"2024-11-20 23:01:38",2024-11-20,221,7600,43860
88680528,"Arm 5 Bucket",6.25,ZGMI,"2024-11-20 23:07:21",2024-11-20,222,11719,18985
108763695,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 22:50:34",2024-11-20,223,11591,11416
80446098,"Arm 5 Bucket",6.741,ZGMI,"2024-11-20 20:29:42",2024-11-20,224,17390,12631
41165469,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 23:13:42",2024-11-20,225,2825,11246
13400522,"Arm 5 Bucket",6.25,ZGMI,"2024-11-20 23:26:05",2024-11-20,226,7778,45159
2058485659,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 21:53:04",2024-11-20,227,7484,37730
88226962,"Arm 5 Bucket",6.25,ZGMI,"2024-11-20 22:28:16",2024-11-20,228,11426,18908
41188638,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 22:19:07",2024-11-20,229,7178,11096
88145408,"Arm 5 Bucket",6.25,ZGMI,"2024-11-20 22:42:45",2024-11-20,230,11022,4104
439643072,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 22:15:23",2024-11-20,231,17813,NULL
41187361,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 22:01:46",2024-11-20,232,7017,12160
63644247,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 23:18:43",2024-11-20,233,12055,11915
345363531,"Arm 5 Bucket",6.741,ZGMI,"2024-11-20 20:19:21",2024-11-20,234,4591,NULL
442721973,"Arm 5 Bucket",6.741,ZGMI,"2024-11-20 20:51:52",2024-11-20,235,67,NULL
338427217,"Arm 5 Bucket",6.741,ZGMI,"2024-11-20 20:52:27",2024-11-20,236,16954,22144
6257623,"Arm 5 Bucket",6.568,ZGMI,"2024-11-20 21:11:03",2024-11-20,237,13945,11022
6295749,"Arm 5 Bucket",6.568,ZGMI,"2024-11-20 21:27:11",2024-11-20,238,11900,13108
442248544,"Arm 5 Bucket",6.568,ZGMI,"2024-11-20 22:45:59",2024-11-20,239,2973,NULL
337444497,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 22:31:12",2024-11-20,240,7251,35861
41072408,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 22:58:52",2024-11-20,241,7213,10203
108786969,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 22:05:17",2024-11-20,242,10944,10348
41185282,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 23:10:34",2024-11-20,243,7151,4363
306330496,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 20:31:54",2024-11-20,244,7113,31778
402316347,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 23:04:27",2024-11-20,245,3073,NULL
51287476,"Arm 5 Bucket",7.175,ZGMI,"2024-11-20 22:29:29",2024-11-20,246,11189,9646
2060893392,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 23:10:45",2024-11-20,247,10879,46492
2062735910,"Arm 5 Bucket",6.568,ZGMI,"2024-11-20 22:46:12",2024-11-20,248,2934,NULL
34210414,"Arm 5 Bucket",7.175,ZGMI,"2024-11-20 22:07:00",2024-11-20,249,7851,28234
352058426,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 22:59:09",2024-11-20,250,3005,NULL
54499519,"Arm 5 Bucket",6.568,ZGMI,"2024-11-20 22:28:18",2024-11-20,251,6796,43068
34323883,"Arm 5 Bucket",7.175,ZGMI,"2024-11-20 21:19:12",2024-11-20,252,7908,39657
6192619,"Arm 5 Bucket",6.568,ZGMI,"2024-11-20 22:44:29",2024-11-20,253,526,8532
34204332,"Arm 5 Bucket",7.175,ZGMI,"2024-11-20 22:16:39",2024-11-20,254,7516,39732
6146579,"Arm 5 Bucket",6.568,ZGMI,"2024-11-20 19:42:18",2024-11-20,255,568,9207
34027238,"Arm 5 Bucket",7.175,ZGMI,"2024-11-20 21:30:58",2024-11-20,256,7654,50587
6327211,"Arm 5 Bucket",6.568,ZGMI,"2024-11-20 22:44:42",2024-11-20,257,10061,5426
108721800,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 22:48:02",2024-11-20,258,11167,11482
33832445,"Arm 5 Bucket",7.175,ZGMI,"2024-11-20 21:24:44",2024-11-20,259,7761,57612
338425159,"Arm 5 Bucket",6.568,ZGMI,"2024-11-20 22:36:56",2024-11-20,260,17050,20236
41137039,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 22:07:04",2024-11-20,261,7468,35544
33337429,"Arm 5 Bucket",7.175,ZGMI,"2024-11-20 22:26:10",2024-11-20,262,7573,22813
2063393047,"Arm 5 Bucket",6.568,ZGMI,"2024-11-20 22:14:07",2024-11-20,263,468,NULL
82322894,"Arm 5 Bucket",7.175,ZGMI,"2024-11-20 22:30:03",2024-11-20,264,7498,46052
442248497,"Arm 5 Bucket",6.568,ZGMI,"2024-11-20 22:45:57",2024-11-20,265,5545,NULL
33842749,"Arm 5 Bucket",7.175,ZGMI,"2024-11-20 22:32:24",2024-11-20,266,11601,11195
6184717,"Arm 5 Bucket",6.568,ZGMI,"2024-11-20 22:07:05",2024-11-20,267,12352,7024
34085876,"Arm 5 Bucket",7.175,ZGMI,"2024-11-20 22:11:32",2024-11-20,268,5541,11543
239884308,"Arm 5 Bucket",6.568,ZGMI,"2024-11-20 22:44:11",2024-11-20,269,469,9355
6297464,"Arm 5 Bucket",6.568,ZGMI,"2024-11-20 22:38:09",2024-11-20,270,12039,14925
43858769,"Arm 5 Bucket",6.877,ZGMI,"2024-11-20 19:36:57",2024-11-20,271,171,21913
6195960,"Arm 5 Bucket",6.568,ZGMI,"2024-11-20 22:37:02",2024-11-20,272,16855,12915
440334031,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 23:20:29",2024-11-20,273,3117,NULL
2067973594,"Arm 5 Bucket",6.877,ZGMI,"2024-11-20 20:40:19",2024-11-20,274,10834,45722
442246823,"Arm 5 Bucket",6.568,ZGMI,"2024-11-20 22:45:54",2024-11-20,275,2869,NULL
98358182,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 21:28:13",2024-11-20,276,11527,9515
2053941041,"Arm 5 Bucket",6.877,ZGMI,"2024-11-20 21:01:26",2024-11-20,277,240,NULL
6266533,"Arm 5 Bucket",6.568,ZGMI,"2024-11-20 22:40:31",2024-11-20,278,14376,10884
41204978,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 22:55:34",2024-11-20,279,11405,11603
338553543,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 23:20:10",2024-11-20,280,7252,44632
299909942,"Arm 5 Bucket",6.568,ZGMI,"2024-11-20 20:30:11",2024-11-20,281,483,9445
338428668,"Arm 5 Bucket",6.568,ZGMI,"2024-11-20 21:53:39",2024-11-20,282,17356,11910
2141080982,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 20:42:40",2024-11-20,283,7224,36715
47242177,"Arm 5 Bucket",6.877,ZGMI,"2024-11-20 20:19:02",2024-11-20,284,94,43458
6282185,"Arm 5 Bucket",6.568,ZGMI,"2024-11-20 21:02:49",2024-11-20,285,8908,7457
337674745,"Arm 5 Bucket",7.175,ZGMI,"2024-11-20 22:22:38",2024-11-20,286,3033,10032
43864977,"Arm 5 Bucket",6.877,ZGMI,"2024-11-20 19:40:28",2024-11-20,287,7684,35769
33350995,"Arm 5 Bucket",7.175,ZGMI,"2024-11-20 21:47:15",2024-11-20,288,7925,22319
442001065,"Arm 5 Bucket",6.877,ZGMI,"2024-11-20 20:14:19",2024-11-20,289,42,NULL
2075518302,"Arm 5 Bucket",6.568,ZGMI,"2024-11-20 22:23:00",2024-11-20,290,17143,NULL
247650073,"Arm 5 Bucket",6.877,ZGMI,"2024-11-20 19:37:18",2024-11-20,291,7068,10340
6303827,"Arm 5 Bucket",6.568,ZGMI,"2024-11-20 21:26:03",2024-11-20,292,17024,11884
33850414,"Arm 5 Bucket",7.175,ZGMI,"2024-11-20 22:23:11",2024-11-20,293,7764,14903
246279066,"Arm 5 Bucket",6.877,ZGMI,"2024-11-20 21:02:38",2024-11-20,294,11421,10034
33930707,"Arm 5 Bucket",7.175,ZGMI,"2024-11-20 22:42:45",2024-11-20,295,11738,11857
60047658,"Arm 5 Bucket",7.579,ZGMI,"2024-11-20 23:39:51",2024-11-20,296,7931,14119
34238605,"Arm 5 Bucket",7.175,ZGMI,"2024-11-20 22:34:14",2024-11-20,297,10827,9432
55258964,"Arm 5 Bucket",7.579,ZGMI,"2024-11-20 22:45:56",2024-11-20,298,12235,11077
7534677,"Arm 5 Bucket",7.579,ZGMI,"2024-11-20 22:56:18",2024-11-20,299,11375,11375
347111063,"Arm 5 Bucket",6.568,ZGMI,"2024-11-20 22:30:41",2024-11-20,300,4741,NULL
67789286,"Arm 5 Bucket",7.579,ZGMI,"2024-11-20 23:01:57",2024-11-20,301,7570,50630
8133324,"Arm 5 Bucket",7.579,ZGMI,"2024-11-20 23:39:21",2024-11-20,302,7862,45346
442736457,"Arm 5 Bucket",7.579,ZGMI,"2024-11-20 23:41:27",2024-11-20,303,11506,NULL
7742322,"Arm 5 Bucket",7.579,ZGMI,"2024-11-20 22:35:16",2024-11-20,304,7830,29187
442736456,"Arm 5 Bucket",7.579,ZGMI,"2024-11-20 23:41:35",2024-11-20,305,11941,NULL
82231248,"Arm 5 Bucket",7.579,ZGMI,"2024-11-20 22:23:08",2024-11-20,306,11932,11637
7933259,"Arm 5 Bucket",7.579,ZGMI,"2024-11-20 23:09:59",2024-11-20,307,11817,9805
34249690,"Arm 5 Bucket",7.175,ZGMI,"2024-11-20 22:28:58",2024-11-20,308,7414,48401
60047859,"Arm 5 Bucket",7.579,ZGMI,"2024-11-20 23:12:56",2024-11-20,309,11435,10879
34111331,"Arm 5 Bucket",7.175,ZGMI,"2024-11-20 22:38:56",2024-11-20,310,3103,9682
442720758,"Arm 5 Bucket",7.579,ZGMI,"2024-11-20 21:09:39",2024-11-20,311,46,NULL
442725266,"Arm 5 Bucket",7.175,ZGMI,"2024-11-20 22:30:28",2024-11-20,312,128,NULL
7755533,"Arm 5 Bucket",7.579,ZGMI,"2024-11-20 22:57:12",2024-11-20,313,12354,7015
33946494,"Arm 5 Bucket",7.175,ZGMI,"2024-11-20 22:44:54",2024-11-20,314,11732,11411
7954112,"Arm 5 Bucket",7.579,ZGMI,"2024-11-20 23:40:53",2024-11-20,315,7152,43257
6260499,"Arm 5 Bucket",6.568,ZGMI,"2024-11-20 21:52:39",2024-11-20,316,8238,9089
34096565,"Arm 5 Bucket",7.175,ZGMI,"2024-11-20 21:47:17",2024-11-20,317,7311,41011
7777240,"Arm 5 Bucket",7.579,ZGMI,"2024-11-20 23:26:21",2024-11-20,318,7058,48060
442247717,"Arm 5 Bucket",6.568,ZGMI,"2024-11-20 20:44:59",2024-11-20,319,2871,NULL
58392484,"Arm 5 Bucket",7.175,ZGMI,"2024-11-20 22:44:37",2024-11-20,320,11827,10902
7993981,"Arm 5 Bucket",7.579,ZGMI,"2024-11-20 21:37:37",2024-11-20,321,11329,11168
442539635,"Arm 5 Bucket",6.568,ZGMI,"2024-11-20 22:34:48",2024-11-20,322,2849,NULL
33331103,"Arm 5 Bucket",7.175,ZGMI,"2024-11-20 21:36:52",2024-11-20,323,12034,10889
7546784,"Arm 5 Bucket",7.579,ZGMI,"2024-11-20 21:28:04",2024-11-20,324,7653,38414
6328399,"Arm 5 Bucket",6.568,ZGMI,"2024-11-20 22:16:05",2024-11-20,325,12639,9660
34244305,"Arm 5 Bucket",7.175,ZGMI,"2024-11-20 22:21:03",2024-11-20,326,11748,9436
7999299,"Arm 5 Bucket",7.579,ZGMI,"2024-11-20 23:26:29",2024-11-20,327,11974,10837
80470994,"Arm 5 Bucket",6.568,ZGMI,"2024-11-20 22:17:05",2024-11-20,328,11427,11063
102350423,"Arm 5 Bucket",7.175,ZGMI,"2024-11-20 22:35:40",2024-11-20,329,10855,11882
7475399,"Arm 5 Bucket",7.579,ZGMI,"2024-11-20 22:41:51",2024-11-20,330,7315,44416
6251313,"Arm 5 Bucket",6.568,ZGMI,"2024-11-20 22:36:46",2024-11-20,331,807,9817
33854468,"Arm 5 Bucket",7.175,ZGMI,"2024-11-20 22:34:22",2024-11-20,332,6834,4982
62727780,"Arm 5 Bucket",7.579,ZGMI,"2024-11-20 22:49:53",2024-11-20,333,7133,26022
69391729,"Arm 5 Bucket",6.693,ZGMI,"2024-11-20 17:12:30",2024-11-20,334,11545,11526
34239130,"Arm 5 Bucket",7.175,ZGMI,"2024-11-20 22:31:46",2024-11-20,335,7636,37598
7997156,"Arm 5 Bucket",7.579,ZGMI,"2024-11-20 23:37:44",2024-11-20,336,11537,11641
63781138,"Arm 5 Bucket",6.395,ZGMI,"2024-11-20 21:57:04",2024-11-20,337,11902,8769
33915664,"Arm 5 Bucket",7.175,ZGMI,"2024-11-20 22:24:53",2024-11-20,338,3056,8254
95082989,"Arm 5 Bucket",7.579,ZGMI,"2024-11-20 22:49:28",2024-11-20,339,7502,54155
10910483,"Arm 5 Bucket",6.395,ZGMI,"2024-11-20 21:25:55",2024-11-20,340,7215,9063
33446461,"Arm 5 Bucket",7.175,ZGMI,"2024-11-20 22:22:42",2024-11-20,341,7777,18105
10896328,"Arm 5 Bucket",6.395,ZGMI,"2024-11-20 22:39:40",2024-11-20,342,11169,10989
34114739,"Arm 5 Bucket",7.175,ZGMI,"2024-11-20 21:57:08",2024-11-20,343,7589,40790
69568294,"Arm 5 Bucket",6.722,ZGMI,"2024-11-20 19:19:22",2024-11-20,344,13477,11069
8148328,"Arm 5 Bucket",7.579,ZGMI,"2024-11-20 22:53:34",2024-11-20,345,7156,26840
44480078,"Arm 5 Bucket",7.203,ZGMI,"2024-11-20 22:50:27",2024-11-20,346,11929,10830
8161087,"Arm 5 Bucket",7.579,ZGMI,"2024-11-20 22:54:53",2024-11-20,347,12024,11379
317106501,"Arm 5 Bucket",7.203,ZGMI,"2024-11-20 22:50:55",2024-11-20,348,7284,19788
7493260,"Arm 5 Bucket",7.579,ZGMI,"2024-11-20 22:19:44",2024-11-20,349,7099,35266
82037458,"Arm 5 Bucket",7.203,ZGMI,"2024-11-20 22:49:59",2024-11-20,350,12221,9737
442637000,"Arm 5 Bucket",7.579,ZGMI,"2024-11-20 23:30:22",2024-11-20,351,111,NULL
442654854,"Arm 5 Bucket",7.203,ZGMI,"2024-11-20 22:56:59",2024-11-20,352,2883,NULL
88062930,"Arm 5 Bucket",7.579,ZGMI,"2024-11-20 23:26:13",2024-11-20,353,7629,46908
44567840,"Arm 5 Bucket",7.203,ZGMI,"2024-11-20 22:53:28",2024-11-20,354,12015,11802
82059468,"Arm 5 Bucket",7.203,ZGMI,"2024-11-20 22:51:15",2024-11-20,355,7874,45355
44486650,"Arm 5 Bucket",7.203,ZGMI,"2024-11-20 22:59:44",2024-11-20,356,7656,57158
82982173,"Arm 5 Bucket",7.203,ZGMI,"2024-11-20 23:00:13",2024-11-20,357,7335,10722
442499507,"Arm 5 Bucket",7.233,ZGMI,"2024-11-20 22:31:18",2024-11-20,358,3017,NULL
44508572,"Arm 5 Bucket",7.203,ZGMI,"2024-11-20 22:55:56",2024-11-20,359,7333,37747
169397327,"Arm 5 Bucket",7.233,ZGMI,"2024-11-20 22:08:53",2024-11-20,360,11783,10754
442741250,"Arm 5 Bucket",7.203,ZGMI,"2024-11-20 22:52:07",2024-11-20,361,2956,NULL
118216503,"Arm 5 Bucket",7.233,ZGMI,"2024-11-20 22:26:28",2024-11-20,362,11310,11305
442707980,"Arm 5 Bucket",7.233,ZGMI,"2024-11-20 21:38:55",2024-11-20,363,172,NULL
243979323,"Arm 5 Bucket",7.233,ZGMI,"2024-11-20 21:56:27",2024-11-20,364,7619,17795
442736090,"Arm 5 Bucket",7.233,ZGMI,"2024-11-20 22:38:35",2024-11-20,365,2930,NULL
125889093,"Arm 5 Bucket",7.233,ZGMI,"2024-11-20 21:51:27",2024-11-20,366,7134,19863
28167455,"Arm 5 Bucket",7.233,ZGMI,"2024-11-20 21:43:28",2024-11-20,367,7136,NULL
26875957,"Arm 5 Bucket",7.233,ZGMI,"2024-11-20 22:31:38",2024-11-20,368,7699,17016
79981339,"Arm 5 Bucket",7.233,ZGMI,"2024-11-20 22:03:09",2024-11-20,369,11578,10500
2081600116,"Arm 5 Bucket",7.233,ZGMI,"2024-11-20 22:39:40",2024-11-20,370,11724,NULL
27805265,"Arm 5 Bucket",7.233,ZGMI,"2024-11-20 21:53:46",2024-11-20,371,11723,12760
80527142,"Arm 5 Bucket",7.233,ZGMI,"2024-11-20 21:38:56",2024-11-20,372,7431,13711
2062413178,"Arm 5 Bucket",7.233,ZGMI,"2024-11-20 21:26:46",2024-11-20,373,8102,30599
2065580339,"Arm 5 Bucket",7.233,ZGMI,"2024-11-20 21:12:54",2024-11-20,374,11404,16792
247680463,"Arm 5 Bucket",7.203,ZGMI,"2024-11-20 22:51:09",2024-11-20,375,6862,46170
28414416,"Arm 5 Bucket",7.233,ZGMI,"2024-11-20 22:15:28",2024-11-20,376,10972,13360
442740299,"Arm 5 Bucket",7.203,ZGMI,"2024-11-20 22:57:41",2024-11-20,377,2783,NULL
26747876,"Arm 5 Bucket",7.233,ZGMI,"2024-11-20 22:14:40",2024-11-20,378,7595,50260
333079624,"Arm 5 Bucket",7.203,ZGMI,"2024-11-20 22:57:18",2024-11-20,379,7884,20296
26817438,"Arm 5 Bucket",7.233,ZGMI,"2024-11-20 21:14:44",2024-11-20,380,11445,NULL
109769066,"Arm 5 Bucket",7.203,ZGMI,"2024-11-20 22:48:48",2024-11-20,381,11910,9851
442595948,"Arm 5 Bucket",7.233,ZGMI,"2024-11-20 21:29:27",2024-11-20,382,183,NULL
366575698,"Arm 5 Bucket",7.203,ZGMI,"2024-11-20 22:52:07",2024-11-20,383,262,22245
28470114,"Arm 5 Bucket",7.233,ZGMI,"2024-11-20 22:22:04",2024-11-20,384,7612,25688
2054240626,"Arm 5 Bucket",7.203,ZGMI,"2024-11-20 22:56:14",2024-11-20,385,7350,NULL
440530437,"Arm 5 Bucket",7.233,ZGMI,"2024-11-20 22:42:13",2024-11-20,386,88,NULL
46178632,"Arm 5 Bucket",7.203,ZGMI,"2024-11-20 22:55:43",2024-11-20,387,7646,20398
441760074,"Arm 5 Bucket",7.233,ZGMI,"2024-11-20 21:18:12",2024-11-20,388,2900,NULL
71094325,"Arm 5 Bucket",7.203,ZGMI,"2024-11-20 22:56:09",2024-11-20,389,7841,17119
440018509,"Arm 5 Bucket",7.233,ZGMI,"2024-11-20 21:31:13",2024-11-20,390,107,NULL
68589691,"Arm 5 Bucket",7.203,ZGMI,"2024-11-20 22:50:06",2024-11-20,391,11737,11309
28180679,"Arm 5 Bucket",7.233,ZGMI,"2024-11-20 22:16:43",2024-11-20,392,10873,14900
442745816,"Arm 5 Bucket",7.203,ZGMI,"2024-11-20 22:49:58",2024-11-20,393,2864,NULL
442741394,"Arm 5 Bucket",7.203,ZGMI,"2024-11-20 23:01:14",2024-11-20,394,2857,NULL
28448488,"Arm 5 Bucket",7.233,ZGMI,"2024-11-20 22:37:05",2024-11-20,395,7833,50828
7470051,"Arm 5 Bucket",7.579,ZGMI,"2024-11-20 22:22:49",2024-11-20,396,7428,50221
442741109,"Arm 5 Bucket",7.203,ZGMI,"2024-11-20 22:57:05",2024-11-20,397,3104,NULL
68960655,"Arm 5 Bucket",7.579,ZGMI,"2024-11-20 22:16:13",2024-11-20,398,10970,9777
